inv_month,inv_date,value,times_viewed
2019-08-01,2019-08-01,26513.569999999992,12205
2019-08-01,2019-08-02,15193.060000000025,7774
2019-08-01,2019-08-04,5948.949999999995,3232
2019-08-01,2019-08-05,16481.37000000001,7893
2019-08-01,2019-08-06,14674.729999999985,6762
2019-08-01,2019-08-07,17336.360000000008,7124
2019-08-01,2019-08-08,30347.430000000022,13312
2019-08-01,2019-08-09,13997.630000000008,6681
2019-08-01,2019-08-11,4779.839999999998,2169
2019-08-01,2019-08-12,13222.739999999996,6386
2019-08-01,2019-08-13,15091.769999999982,7320
2019-08-01,2019-08-14,23583.550000000054,10061
2019-08-01,2019-08-15,22911.519999999993,11514
2019-08-01,2019-08-16,12411.479999999994,6639
2019-08-01,2019-08-18,11033.559999999978,5000
2019-08-01,2019-08-19,18971.969999999972,9413
2019-08-01,2019-08-20,19244.990000000045,9415
2019-08-01,2019-08-21,24145.390000000047,11416
2019-08-01,2019-08-22,18082.68,9203
2019-08-01,2019-08-23,14594.489999999996,7721
2019-08-01,2019-08-25,8602.259999999987,4998
2019-08-01,2019-08-27,26399.5900000001,8507
2019-08-01,2019-08-28,15933.980000000014,6662
2019-08-01,2019-08-29,20513.949999999983,10768
2019-08-01,2019-08-30,25286.29,9885
2019-09-01,2019-09-01,14384.070000000003,7458
2019-09-01,2019-09-02,19769.55000000002,10172
2019-09-01,2019-09-03,19414.279999999973,8229
2019-09-01,2019-09-04,23551.410000000007,10263
2019-09-01,2019-09-05,20239.250000000036,10061
2019-09-01,2019-09-06,22778.48000000005,9988
2019-09-01,2019-09-08,23841.77000000008,11924
2019-09-01,2019-09-09,23326.189999999988,11075
2019-09-01,2019-09-10,31033.589999999975,14179
2019-09-01,2019-09-11,16579.629999999997,7896
2019-09-01,2019-09-12,33231.92999999996,13495
2019-09-01,2019-09-13,22869.80999999998,10127
2019-09-01,2019-09-15,11574.589999999993,5727
2019-09-01,2019-09-16,23231.830000000005,11046
2019-09-01,2019-09-17,25654.119999999984,10408
2019-09-01,2019-09-18,33186.12000000004,13479
2019-09-01,2019-09-19,37983.91999999999,18888
2019-09-01,2019-09-20,30107.740000000038,14265
2019-09-01,2019-09-22,24650.319999999978,12409
2019-09-01,2019-09-23,20477.16999999999,9777
2019-09-01,2019-09-24,24337.76000000002,11709
2019-09-01,2019-09-25,30295.429999999993,14957
2019-09-01,2019-09-26,33137.56000000005,17506
2019-09-01,2019-09-27,25606.09,11727
2019-09-01,2019-09-29,10389.579999999978,5354
2019-09-01,2019-09-30,29869.759999999987,12521
2019-10-01,2019-10-01,32126.760000000013,13872
2019-10-01,2019-10-02,33855.63999999996,16256
2019-10-01,2019-10-03,38048.57000000013,18434
2019-10-01,2019-10-04,29078.99000000007,13974
2019-10-01,2019-10-06,9838.019999999986,5026
2019-10-01,2019-10-07,34435.16000000009,15612
2019-10-01,2019-10-08,33562.999999999985,15790
2019-10-01,2019-10-09,25951.32,12358
2019-10-01,2019-10-10,29020.800000000047,12545
2019-10-01,2019-10-11,26715.240000000016,11311
2019-10-01,2019-10-13,17067.8,6050
2019-10-01,2019-10-14,33341.170000000086,15614
2019-10-01,2019-10-15,32535.92999999995,16333
2019-10-01,2019-10-16,27573.069999999956,12588
2019-10-01,2019-10-17,31664.750000000087,15117
2019-10-01,2019-10-18,22197.640000000032,10011
2019-10-01,2019-10-20,11452.839999999982,6010
2019-10-01,2019-10-21,29104.29999999997,12892
2019-10-01,2019-10-22,28203.839999999946,15217
2019-10-01,2019-10-23,22077.720000000096,10152
2019-10-01,2019-10-24,31943.120000000006,15335
2019-10-01,2019-10-25,22015.37000000008,9750
2019-10-01,2019-10-27,28265.080000000144,14523
2019-10-01,2019-10-28,42753.419999999955,14939
2019-10-01,2019-10-29,20577.770000000008,9955
2019-10-01,2019-10-30,29019.96,13370
2019-10-01,2019-10-31,28987.580000000064,13687
2019-11-01,2019-11-01,34198.19999999995,17415
2019-11-01,2019-11-03,34195.02000000029,16728
2019-11-01,2019-11-04,29902.350000000097,11838
2019-11-01,2019-11-05,45091.04000000014,18373
2019-11-01,2019-11-06,34880.44999999996,16530
2019-11-01,2019-11-07,44830.129999999954,19955
2019-11-01,2019-11-08,41138.559999999925,19315
2019-11-01,2019-11-10,27775.73000000009,14596
2019-11-01,2019-11-11,42169.65000000008,18366
2019-11-01,2019-11-12,37672.729999999916,16247
2019-11-01,2019-11-13,46931.899999999834,20172
2019-11-01,2019-11-14,43937.0699999999,20177
2019-11-01,2019-11-15,35026.649999999965,15097
2019-11-01,2019-11-17,28745.390000000207,14165
2019-11-01,2019-11-18,31728.060000000118,15347
2019-11-01,2019-11-19,42649.63999999998,18881
2019-11-01,2019-11-20,48441.98999999999,19783
2019-11-01,2019-11-21,38941.27000000008,17327
2019-11-01,2019-11-22,34500.5100000001,12505
2019-11-01,2019-11-24,18023.450000000037,8994
2019-11-01,2019-11-25,36585.129999999976,16727
2019-11-01,2019-11-26,46149.74999999981,17946
2019-11-01,2019-11-27,42861.430000000044,17489
2019-11-01,2019-11-28,35267.530000000086,15523
2019-11-01,2019-11-29,34927.21999999988,15124
2019-12-01,2019-12-01,19866.050000000072,9120
2019-12-01,2019-12-02,58554.92999999996,24616
2019-12-01,2019-12-03,35107.750000000124,17496
2019-12-01,2019-12-04,32800.91999999998,16593
2019-12-01,2019-12-05,51835.789999999964,20939
2019-12-01,2019-12-06,21872.320000000083,7779
