country,inv_month,value,times_viewed,customers
Australia,2019-08-01,2638.8200000000006,1332,2.0
Australia,2019-09-01,1789.4599999999996,914,5.0
Australia,2019-10-01,3738.96,1182,2.0
Australia,2019-11-01,886.7899999999998,435,3.0
Austria,2019-08-01,1430.019999999999,774,2.0
Austria,2019-10-01,906.8100000000002,465,1.0
Austria,2019-11-01,1108.2799999999997,576,2.0
Austria,2019-12-01,171.18,54,1.0
Belgium,2019-08-01,2455.27,1428,8.0
Belgium,2019-09-01,2994.479999999999,1294,6.0
Belgium,2019-10-01,4418.399999999998,2171,9.0
Belgium,2019-11-01,5077.750000000002,2258,10.0
Belgium,2019-12-01,979.21,545,3.0
Canada,2019-08-01,45.75,45,1.0
Channel Islands,2019-08-01,2558.5400000000022,928,4.0
Channel Islands,2019-09-01,1156.0000000000005,539,2.0
Channel Islands,2019-10-01,2147.5099999999993,978,2.0
Channel Islands,2019-11-01,1392.7199999999996,568,2.0
Channel Islands,2019-12-01,182.45,43,2.0
Cyprus,2019-09-01,5.95,1,1.0
Cyprus,2019-10-01,4017.1399999999994,1061,4.0
Cyprus,2019-11-01,495.5399999999999,247,2.0
Czech Republic,2019-10-01,89.34,100,1.0
Czech Republic,2019-11-01,7.33,5,1.0
Denmark,2019-08-01,207.43999999999997,141,2.0
Denmark,2019-09-01,1134.4700000000005,421,3.0
Denmark,2019-10-01,278.23999999999995,159,3.0
Denmark,2019-11-01,1862.7000000000005,964,2.0
Denmark,2019-12-01,128.85000000000002,95,1.0
EIRE,2019-08-01,14074.299999999994,5804,2.0
EIRE,2019-09-01,22365.45000000002,9619,2.0
EIRE,2019-10-01,17937.079999999994,8291,2.0
EIRE,2019-11-01,20180.730000000003,8846,2.0
EIRE,2019-12-01,5258.699999999995,2626,1.0
Finland,2019-08-01,1216.2499999999995,645,3.0
Finland,2019-09-01,258.25,178,3.0
Finland,2019-10-01,1748.4400000000003,792,5.0
Finland,2019-11-01,1506.4899999999998,592,6.0
Finland,2019-12-01,0.0,0,1.0
France,2019-08-01,9698.320000000005,5369,23.0
France,2019-09-01,17803.82000000003,8735,36.0
France,2019-10-01,16108.889999999992,8429,30.0
France,2019-11-01,22362.200000000008,11516,40.0
France,2019-12-01,3637.7799999999984,1892,13.0
Germany,2019-08-01,12352.099999999995,5824,30.0
Germany,2019-09-01,12107.86,6475,32.0
Germany,2019-10-01,23182.390000000018,12014,43.0
Germany,2019-11-01,18406.849999999995,8562,45.0
Germany,2019-12-01,4608.619999999999,2511,14.0
Greece,2019-12-01,545.99,233,1.0
Hong Kong,2019-08-01,1882.8000000000002,484,
Hong Kong,2019-10-01,612.7099999999999,275,
Iceland,2019-10-01,1034.81,468,1.0
Iceland,2019-12-01,162.31,116,1.0
Israel,2019-08-01,3368.9600000000005,1527,1.0
Israel,2019-09-01,357.05999999999995,169,
Israel,2019-10-01,134.67000000000002,91,1.0
Italy,2019-08-01,1547.8000000000002,797,3.0
Italy,2019-09-01,279.79999999999995,48,1.0
Italy,2019-10-01,3122.28,1260,5.0
Italy,2019-11-01,3617.1400000000012,1381,7.0
Italy,2019-12-01,209.3,48,1.0
