country,inv_month,inv_date,value,times_viewed
Australia,2017-11-01,2017-11-28,227.60000000000002,97
Australia,2017-12-01,2017-12-04,21.0,4
Australia,2017-12-01,2017-12-05,6.25,5
Australia,2017-12-01,2017-12-15,58.0,40
Australia,2018-02-01,2018-02-11,250.4,144
Australia,2018-02-01,2018-02-18,202.56,132
Australia,2018-02-01,2018-02-19,182.70000000000002,74
Australia,2018-03-01,2018-03-01,348.64000000000004,136
Australia,2018-03-01,2018-03-20,34.8,24
Australia,2018-04-01,2018-04-05,109.58000000000001,111
Australia,2018-04-01,2018-04-24,163.95,49
Australia,2018-05-01,2018-05-03,381.47,189
Australia,2018-05-01,2018-05-18,595.7600000000001,245
Australia,2018-05-01,2018-05-21,59.92,8
Australia,2018-06-01,2018-06-01,34.0,4
Australia,2018-06-01,2018-06-06,276.76,170
Australia,2018-06-01,2018-06-20,248.90999999999997,88
Australia,2018-06-01,2018-06-27,1736.05,912
Australia,2018-06-01,2018-06-28,13.5,2
Australia,2018-07-01,2018-07-03,180.57999999999998,30
Australia,2018-07-01,2018-07-11,25.5,2
Australia,2018-07-01,2018-07-13,82.83,27
Australia,2018-08-01,2018-08-14,166.89999999999998,74
Australia,2018-08-01,2018-08-30,127.0,20
Australia,2018-09-01,2018-09-17,498.32000000000005,171
Australia,2018-10-01,2018-10-04,291.70000000000005,130
Australia,2018-10-01,2018-10-07,89.92,48
Australia,2018-10-01,2018-10-10,689.8299999999999,431
Australia,2018-10-01,2018-10-12,224.22,186
Australia,2018-10-01,2018-10-17,126.72000000000001,93
Australia,2018-10-01,2018-10-18,187.39999999999998,70
Australia,2018-10-01,2018-10-23,620.1,232
Australia,2018-10-01,2018-10-30,637.55,293
Australia,2018-11-01,2018-11-01,34.6,10
Australia,2018-11-01,2018-11-13,5.0,4
Australia,2018-11-01,2018-11-19,399.19999999999993,252
Australia,2018-11-01,2018-11-20,304.78999999999996,144
Australia,2018-11-01,2018-11-26,3009.8299999999986,1065
Australia,2018-11-01,2018-11-28,648.25,161
Australia,2018-12-01,2018-12-05,382.77,179
Australia,2018-12-01,2018-12-11,32.75,5
Australia,2018-12-01,2018-12-14,307.3,100
Australia,2019-01-01,2019-01-03,1139.83,595
Australia,2019-01-01,2019-01-07,0.0,0
Australia,2019-01-01,2019-01-08,376.45000000000005,181
Australia,2019-01-01,2019-01-11,56.05000000000001,19
Australia,2019-01-01,2019-01-14,381.15000000000003,169
Australia,2019-01-01,2019-01-16,238.5,113
Australia,2019-01-01,2019-01-17,87.75,21
Australia,2019-01-01,2019-01-25,384.6799999999999,110
Australia,2019-02-01,2019-02-04,242.25000000000003,73
Australia,2019-02-01,2019-02-12,2019.2700000000007,785
Australia,2019-02-01,2019-02-24,163.75000000000003,53
Australia,2019-02-01,2019-02-28,3228.21,1014
Australia,2019-03-01,2019-03-06,210.89999999999998,90
Australia,2019-03-01,2019-03-21,286.25,77
Australia,2019-04-01,2019-04-01,6.6,4
Australia,2019-04-01,2019-04-05,231.85000000000002,109
Australia,2019-04-01,2019-04-25,8.5,2
Australia,2019-05-01,2019-05-09,425.81999999999994,152
Australia,2019-05-01,2019-05-14,1868.1800000000003,841
Australia,2019-05-01,2019-05-17,38.12,8
Australia,2019-05-01,2019-05-20,313.63999999999993,110
Australia,2019-05-01,2019-05-28,4.949999999999999,3
Australia,2019-05-01,2019-05-30,29.4,6
Australia,2019-06-01,2019-06-12,3217.1899999999996,1659
Australia,2019-06-01,2019-06-27,686.7600000000002,282
Australia,2019-07-01,2019-07-10,228.51999999999995,306
Australia,2019-07-01,2019-07-11,755.25,305
Australia,2019-07-01,2019-07-16,845.92,320
Australia,2019-07-01,2019-07-21,459.4,175
Australia,2019-07-01,2019-07-23,35.12,22
Austria,2017-12-01,2017-12-05,547.18,122
Austria,2017-12-01,2017-12-19,371.46,160
Austria,2018-02-01,2018-02-01,296.25,169
Austria,2018-02-01,2018-02-06,394.4599999999999,158
Austria,2018-02-01,2018-02-19,123.10000000000001,106
Austria,2018-03-01,2018-03-05,130.71,91
Austria,2018-03-01,2018-03-22,376.80999999999995,187
Austria,2018-04-01,2018-04-27,738.78,416
Austria,2018-05-01,2018-05-22,364.9200000000001,359
Austria,2018-06-01,2018-06-04,170.09999999999997,149
Austria,2018-08-01,2018-08-17,929.9499999999999,555
Austria,2018-08-01,2018-08-30,37.760000000000005,77
Austria,2018-08-01,2018-08-31,250.69000000000003,75
Austria,2018-09-01,2018-09-05,18.15,5
Austria,2018-09-01,2018-09-13,914.6999999999996,701
Austria,2018-09-01,2018-09-28,155.60000000000002,42
Austria,2018-10-01,2018-10-11,477.70000000000005,138
Austria,2018-10-01,2018-10-19,123.35000000000001,69
Austria,2018-11-01,2018-11-02,287.65,121
Austria,2018-11-01,2018-11-09,607.0100000000001,441
Austria,2018-11-01,2018-11-23,620.05,262
Austria,2018-11-01,2018-11-26,750.13,215
Austria,2018-12-01,2018-12-12,0.84,2
Austria,2018-12-01,2018-12-14,157.2,48
