country,inv_month,value,times_viewed,customers
Australia,2017-11-01,227.60000000000002,97,1.0
Australia,2017-12-01,85.25,49,2.0
Australia,2018-02-01,635.66,350,3.0
Australia,2018-03-01,383.44000000000005,160,2.0
Australia,2018-04-01,273.53000000000003,160,2.0
Australia,2018-05-01,1037.1500000000003,442,3.0
Australia,2018-06-01,2309.2199999999993,1176,3.0
Australia,2018-07-01,288.91,59,2.0
Australia,2018-08-01,293.9,94,1.0
Australia,2018-09-01,498.32000000000005,171,1.0
Australia,2018-10-01,2867.440000000001,1483,9.0
Australia,2018-11-01,4401.669999999999,1636,4.0
Australia,2018-12-01,722.8199999999999,284,3.0
Australia,2019-01-01,2664.410000000001,1208,7.0
Australia,2019-02-01,5653.4800000000005,1925,4.0
Australia,2019-03-01,497.1499999999999,167,2.0
Australia,2019-04-01,246.95,115,3.0
Australia,2019-05-01,2680.11,1120,2.0
Australia,2019-06-01,3903.9499999999994,1941,2.0
Australia,2019-07-01,2324.210000000002,1128,3.0
Austria,2017-12-01,918.64,282,2.0
Austria,2018-02-01,813.8100000000001,433,3.0
Austria,2018-03-01,507.5200000000001,278,3.0
Austria,2018-04-01,738.78,416,1.0
Austria,2018-05-01,364.9200000000001,359,1.0
Austria,2018-06-01,170.09999999999997,149,1.0
Austria,2018-08-01,1218.3999999999999,707,3.0
Austria,2018-09-01,1088.4499999999996,748,3.0
Austria,2018-10-01,601.0500000000003,207,2.0
Austria,2018-11-01,2264.840000000001,1039,4.0
Austria,2018-12-01,158.04000000000002,50,2.0
Austria,2019-01-01,343.6500000000001,207,2.0
Austria,2019-02-01,104.79000000000002,39,1.0
Austria,2019-03-01,354.60999999999996,146,1.0
Austria,2019-04-01,463.16,205,2.0
Austria,2019-05-01,1001.0300000000004,415,2.0
Austria,2019-06-01,10.15,3,1.0
Austria,2019-07-01,1083.37,502,2.0
Bahrain,2018-01-01,439.85,159,
Bahrain,2018-03-01,514.8,90,
Bahrain,2018-05-01,481.7600000000001,244,1.0
Bahrain,2018-06-01,303.38000000000005,142,
Bahrain,2018-10-01,317.76,192,1.0
Bahrain,2018-12-01,72.39,19,
Bahrain,2019-01-01,7.62,2,
Bahrain,2019-05-01,374.65,121,2.0
